Sample	Name	Time Desc	Time	Time Unit	Donor	CNhs	Time Course	Time Course Id	Species	Series
13374-143G8	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 008hr	480	mins	 biol_rep2	CNhs13746	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
13375-143G9	Tracheal epithelial cells, differentiation to ciliated epithelial cells	 008hr	480	mins	 biol_rep3	CNhs13747	Tracheal to ciliated epithelium	Tracheal_to_ciliated_epithelium	Mouse	Activation
13541-145H4	293SLAM rinderpest infection	 00hr	0	mins	 biol_rep1	CNhs14406	Rinderpest infection series	Rinderpest_infection_series	Human	Activation
13542-145H5	293SLAM rinderpest infection	 00hr	0	mins	 biol_rep2	CNhs14407	Rinderpest infection series	Rinderpest_infection_series	Human	Activation
13543-145H6	293SLAM rinderpest infection	 00hr	0	mins	 biol_rep3	CNhs14408	Rinderpest infection series	Rinderpest_infection_series	Human	Activation
13553-145I7	COBL-a rinderpest infection	 00hr	0	mins	 biol_rep1	CNhs14419	Rinderpest infection series	Rinderpest_infection_series	Human	Activation
13554-145I8	COBL-a rinderpest infection	 00hr	0	mins	 biol_rep2	CNhs14420	Rinderpest infection series	Rinderpest_infection_series	Human	Activation
13555-145I9	COBL-a rinderpest infection	 00hr	0	mins	 biol_rep3	CNhs14421	Rinderpest infection series	Rinderpest_infection_series	Human	Activation
12642-134G5	Aortic smooth muscle cell response to FGF2	 00hr00min	0	mins	biol_rep1	CNhs13339	AoSMC response to FGF2	AoSMC_response_to_FGF2	Human	Early response
12740-135I4	Aortic smooth muscle cell response to FGF2	 00hr00min	0	mins	biol_rep2	CNhs13358	AoSMC response to FGF2	AoSMC_response_to_FGF2	Human	Early response
12652-134H6	Aortic smooth muscle cell response to IL1b	 00hr00min	0	mins	biol_rep1 (LK31)	CNhs13349	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
12750-136A5	Aortic smooth muscle cell response to IL1b	 00hr00min	0	mins	biol_rep2 (LK32)	CNhs13369	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
12848-137C4	Aortic smooth muscle cell response to IL1b	 00hr00min	0	mins	biol_rep3 (LK33)	CNhs13577	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
13625-146H7	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr00min	0	mins	 biol_rep1	CNhs14463	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13626-146H8	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr00min	0	mins	 biol_rep2	CNhs14464	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13627-146H9	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr00min	0	mins	 biol_rep3	CNhs14465	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13063-139I3	J2E erythroblastic leukemia response to erythropoietin	 00hr00min	0	mins	 biol_rep1	CNhs12449	J2E erythrocytic differentiation (EPO)	J2E_erythrocytic_differentiation_(EPO)	Mouse	Early response
13129-140G6	J2E erythroblastic leukemia response to erythropoietin	 00hr00min	0	mins	 biol_rep2	CNhs12668	J2E erythrocytic differentiation (EPO)	J2E_erythrocytic_differentiation_(EPO)	Mouse	Early response
13195-141E9	J2E erythroblastic leukemia response to erythropoietin	 00hr00min	0	mins	 biol rep3	CNhs14547	J2E erythrocytic differentiation (EPO)	J2E_erythrocytic_differentiation_(EPO)	Mouse	Early response
12260-130A1	Lymphatic Endothelial cells response to VEGFC	 00hr00min	0	mins	 biol_rep1 (MM XIX - 1)	CNhs11936	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
12382-131E6	Lymphatic Endothelial cells response to VEGFC	 00hr00min	0	mins	 biol_rep2 (MM XIV - 1)	CNhs13157	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
12504-133A2	Lymphatic Endothelial cells response to VEGFC	 00hr00min	0	mins	 biol_rep3 (MM XXII - 1 )	CNhs13276	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
13316-143A4	Monocyte-derived macrophages response to mock influenza infection	 00hr00min	0	mins	 donor2 (150_120:MI_0h)	CNhs13645	Macrophage influenza infection	Macrophage_influenza_infection	Human	Activation
13322-143B1	Monocyte-derived macrophages response to mock influenza infection	 00hr00min	0	mins	 donor3 (536_119:MI_0h)	CNhs13649	Macrophage influenza infection	Macrophage_influenza_infection	Human	Activation
13310-142I7	Monocyte-derived macrophages response to mock influenza infection	 00hr00min	0	mins	 donor4 (227_121:MI_0h)	CNhs13638	Macrophage influenza infection	Macrophage_influenza_infection	Human	Activation
13305-142I2	Monocyte-derived macrophages response to udorn influenza infection	 00hr00min	0	mins	 donor1 (868_121:Ud_0h)	CNhs13554	Macrophage influenza infection	Macrophage_influenza_infection	Human	Activation
13317-143A5	Monocyte-derived macrophages response to udorn influenza infection	 00hr00min	0	mins	 donor2 (150_120:Ud_0h)	CNhs13646	Macrophage influenza infection	Macrophage_influenza_infection	Human	Activation
13323-143B2	Monocyte-derived macrophages response to udorn influenza infection	 00hr00min	0	mins	 donor3 (536_119:Ud_0h)	CNhs13650	Macrophage influenza infection	Macrophage_influenza_infection	Human	Activation
13311-142I8	Monocyte-derived macrophages response to udorn influenza infection	 00hr00min	0	mins	 donor4 (227_121:Ud_0h)	CNhs13639	Macrophage influenza infection	Macrophage_influenza_infection	Human	Activation
12698-135D7	Monocyte-derived macrophages response to LPS	 00hr00min	0	mins	 donor1 (t1 Subject1)	CNhs11941	Macrophage response to LPS	Macrophage_response_to_LPS	Human	Early response
12796-136F6	Monocyte-derived macrophages response to LPS	 00hr00min	0	mins	 donor2 (t1 Subject2)	CNhs13379	Macrophage response to LPS	Macrophage_response_to_LPS	Human	Early response
12894-137H5	Monocyte-derived macrophages response to LPS	 00hr00min	0	mins	 donor3 (t1 Subject3)	CNhs13174	Macrophage response to LPS	Macrophage_response_to_LPS	Human	Early response
13229-141I7	mesenchymal stem cells (adipose derived), adipogenic induction	 00hr00min	0	mins	 biol_rep1	CNhs13337	MSC to adipocyte (human)	MSC_to_adipocyte_(human)	Human	Early response
13230-141I8	mesenchymal stem cells (adipose derived), adipogenic induction	 00hr00min	0	mins	 biol_rep2	CNhs13420	MSC to adipocyte (human)	MSC_to_adipocyte_(human)	Human	Early response
13231-141I9	mesenchymal stem cells (adipose derived), adipogenic induction	 00hr00min	0	mins	 biol_rep3	CNhs13421	MSC to adipocyte (human)	MSC_to_adipocyte_(human)	Human	Early response
12662-134I7	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification	 00hr00min	0	mins	 biol_rep1 (A1 T0)	CNhs11918	Saos calcification	Saos_calcification	Human	Early response
12760-136B6	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification	 00hr00min	0	mins	 biol_rep2 (A2 T0)	CNhs12859	Saos calcification	Saos_calcification	Human	Early response
12858-137D5	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification	 00hr00min	0	mins	 biol_rep3 (A3 T0)	CNhs12952	Saos calcification	Saos_calcification	Human	Early response
12972-138H2	EBF KO HPCs induced to T cell	 00hr00min	0	mins	 biol_rep1	CNhs11058	T-cell differentiation	T-cell_differentiation	Mouse	Early response
12988-138I9	EBF KO HPCs induced to T cell	 00hr00min	0	mins	 biol_rep2	CNhs12980	T-cell differentiation	T-cell_differentiation	Mouse	Early response
13004-139B7	EBF KO HPCs induced to T cell	 00hr00min	0	mins	 biol_rep3	CNhs13687	T-cell differentiation	T-cell_differentiation	Mouse	Early response
12643-134G6	Aortic smooth muscle cell response to FGF2	 00hr15min	15	mins	biol_rep1	CNhs13340	AoSMC response to FGF2	AoSMC_response_to_FGF2	Human	Early response
12741-135I5	Aortic smooth muscle cell response to FGF2	 00hr15min	15	mins	biol_rep2	CNhs13359	AoSMC response to FGF2	AoSMC_response_to_FGF2	Human	Early response
12839-137B4	Aortic smooth muscle cell response to FGF2	 00hr15min	15	mins	biol_rep3	CNhs13568	AoSMC response to FGF2	AoSMC_response_to_FGF2	Human	Early response
12653-134H7	Aortic smooth muscle cell response to IL1b	 00hr15min	15	mins	biol_rep1 (LK34)	CNhs13350	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
12751-136A6	Aortic smooth muscle cell response to IL1b	 00hr15min	15	mins	biol_rep2 (LK35)	CNhs13370	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
12849-137C5	Aortic smooth muscle cell response to IL1b	 00hr15min	15	mins	biol_rep3 (LK36)	CNhs13578	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
13628-146I1	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr15min	15	mins	 biol_rep1	CNhs14466	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13629-146I2	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr15min	15	mins	 biol_rep2	CNhs14467	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13630-146I3	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr15min	15	mins	 biol_rep3	CNhs14468	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13064-139I4	J2E erythroblastic leukemia response to erythropoietin	 00hr15min	15	mins	 biol_rep1	CNhs12644	J2E erythrocytic differentiation (EPO)	J2E_erythrocytic_differentiation_(EPO)	Mouse	Early response
13130-140G7	J2E erythroblastic leukemia response to erythropoietin	 00hr15min	15	mins	 biol_rep2	CNhs12669	J2E erythrocytic differentiation (EPO)	J2E_erythrocytic_differentiation_(EPO)	Mouse	Early response
13196-141F1	J2E erythroblastic leukemia response to erythropoietin	 00hr15min	15	mins	 biol_rep3	CNhs12771	J2E erythrocytic differentiation (EPO)	J2E_erythrocytic_differentiation_(EPO)	Mouse	Early response
12261-130A2	Lymphatic Endothelial cells response to VEGFC	 00hr15min	15	mins	 biol_rep1 (MM XIX - 2)	CNhs13100	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
12383-131E7	Lymphatic Endothelial cells response to VEGFC	 00hr15min	15	mins	 biol_rep2 (MM XIV - 2)	CNhs13158	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
12505-133A3	Lymphatic Endothelial cells response to VEGFC	 00hr15min	15	mins	 biol_rep3 (MM XXII - 2)	CNhs13277	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
12797-136F7	Monocyte-derived macrophages response to LPS	 00hr15min	15	mins	 donor2 (t2 Subject2)	CNhs13380	Macrophage response to LPS	Macrophage_response_to_LPS	Human	Early response
12895-137H6	Monocyte-derived macrophages response to LPS	 00hr15min	15	mins	 donor3 (t2 Subject3)	CNhs13175	Macrophage response to LPS	Macrophage_response_to_LPS	Human	Early response
13032-139E8	MCF7 breast cancer cell line response to EGF1	 00hr15min	15	mins	 biol_rep1	CNhs12420	MCF7 response to EGF	MCF7_response_to_EGF	Human	Early response
13098-140D2	MCF7 breast cancer cell line response to EGF1	 00hr15min	15	mins	 biol_rep2	CNhs12476	MCF7 response to EGF	MCF7_response_to_EGF	Human	Early response
13164-141B5	MCF7 breast cancer cell line response to EGF1	 00hr15min	15	mins	 biol_rep3	CNhs12704	MCF7 response to EGF	MCF7_response_to_EGF	Human	Early response
13048-139G6	MCF7 breast cancer cell line response to HRG	 00hr15min	15	mins	 biol_rep1	CNhs12435	MCF7 response to HRG	MCF7_response_to_HRG	Human	Early response
13114-140E9	MCF7 breast cancer cell line response to HRG	 00hr15min	15	mins	 biol_rep2	CNhs12652	MCF7 response to HRG	MCF7_response_to_HRG	Human	Early response
13180-141D3	MCF7 breast cancer cell line response to HRG	 00hr15min	15	mins	 biol_rep3	CNhs12754	MCF7 response to HRG	MCF7_response_to_HRG	Human	Early response
12308-130F4	ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes	 00hr15min	15	mins	 biol_rep1 (015mA1)	CNhs13114	MSC to adipocyte (mouse)	MSC_to_adipocyte_(mouse)	Mouse	Early response
12430-132A9	ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes	 00hr15min	15	mins	 biol_rep2 (015mA2)	CNhs13243	MSC to adipocyte (mouse)	MSC_to_adipocyte_(mouse)	Mouse	Early response
12552-133F5	ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes	 00hr15min	15	mins	 biol_rep3 (015mA3)	CNhs13292	MSC to adipocyte (mouse)	MSC_to_adipocyte_(mouse)	Mouse	Early response
13232-142A1	mesenchymal stem cells (adipose derived), adipogenic induction	 00hr15min	15	mins	 biol_rep1	CNhs13422	MSC to adipocyte (human)	MSC_to_adipocyte_(human)	Human	Early response
13233-142A2	mesenchymal stem cells (adipose derived), adipogenic induction	 00hr15min	15	mins	 biol_rep2	CNhs13423	MSC to adipocyte (human)	MSC_to_adipocyte_(human)	Human	Early response
13234-142A3	mesenchymal stem cells (adipose derived), adipogenic induction	 00hr15min	15	mins	 biol_rep3	CNhs13424	MSC to adipocyte (human)	MSC_to_adipocyte_(human)	Human	Early response
12323-130H1	ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes	 00hr15min	15	mins	 biol_rep1 (015mB1)	CNhs13130	MSC to osteocyte (mouse)	MSC_to_osteocyte_(mouse)	Mouse	Early response
12445-132C6	ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes	 00hr15min	15	mins	 biol_rep2 (015mB2)	CNhs13259	MSC to osteocyte (mouse)	MSC_to_osteocyte_(mouse)	Mouse	Early response
12567-133H2	ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes	 00hr15min	15	mins	 biol_rep3 (015mB3)	CNhs13308	MSC to osteocyte (mouse)	MSC_to_osteocyte_(mouse)	Mouse	Early response
12663-134I8	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification	 00hr15min	15	mins	 biol_rep1 (A1 T1)	CNhs12381	Saos calcification	Saos_calcification	Human	Early response
12761-136B7	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification	 00hr15min	15	mins	 biol_rep2 (A2 T1)	CNhs12860	Saos calcification	Saos_calcification	Human	Early response
12859-137D6	Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification	 00hr15min	15	mins	 biol_rep3 (A3 T1)	CNhs12877	Saos calcification	Saos_calcification	Human	Early response
12644-134G7	Aortic smooth muscle cell response to FGF2	 00hr30min	30	mins	biol_rep1	CNhs13341	AoSMC response to FGF2	AoSMC_response_to_FGF2	Human	Early response
12742-135I6	Aortic smooth muscle cell response to FGF2	 00hr30min	30	mins	biol_rep2	CNhs13360	AoSMC response to FGF2	AoSMC_response_to_FGF2	Human	Early response
12840-137B5	Aortic smooth muscle cell response to FGF2	 00hr30min	30	mins	biol_rep3	CNhs13569	AoSMC response to FGF2	AoSMC_response_to_FGF2	Human	Early response
12654-134H8	Aortic smooth muscle cell response to IL1b	 00hr30min	30	mins	biol_rep1 (LK37)	CNhs13351	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
12752-136A7	Aortic smooth muscle cell response to IL1b	 00hr30min	30	mins	biol_rep2 (LK38)	CNhs13371	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
12850-137C6	Aortic smooth muscle cell response to IL1b	 00hr30min	30	mins	biol_rep3 (LK39)	CNhs13579	AoSMC response to IL1b	AoSMC_response_to_IL1b	Human	Early response
13631-146I4	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr30min	30	mins	 biol_rep1	CNhs14469	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13632-146I5	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr30min	30	mins	 biol_rep2	CNhs14470	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13633-146I6	ARPE-19 EMT induced with TGF-beta and TNF-alpha	 00hr30min	30	mins	 biol_rep3	CNhs14471	Epithelial to mesenchymal 	Epithelial_to_mesenchymal 	Human	Early response
13065-139I5	J2E erythroblastic leukemia response to erythropoietin	 00hr30min	30	mins	 biol_rep1	CNhs12645	J2E erythrocytic differentiation (EPO)	J2E_erythrocytic_differentiation_(EPO)	Mouse	Early response
13197-141F2	J2E erythroblastic leukemia response to erythropoietin	 00hr30min	30	mins	 biol_rep3	CNhs12772	J2E erythrocytic differentiation (EPO)	J2E_erythrocytic_differentiation_(EPO)	Mouse	Early response
12262-130A3	Lymphatic Endothelial cells response to VEGFC	 00hr30min	30	mins	 biol_rep1 (MM XIX - 3)	CNhs13101	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
12384-131E8	Lymphatic Endothelial cells response to VEGFC	 00hr30min	30	mins	 biol_rep2 (MM XIV - 3)	CNhs13159	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
12506-133A4	Lymphatic Endothelial cells response to VEGFC	 00hr30min	30	mins	 biol_rep3 (MM XXII - 3)	CNhs13278	Lymphatic EC response to VEGFC	Lymphatic_EC_response_to_VEGFC	Human	Early response
12798-136F8	Monocyte-derived macrophages response to LPS	 00hr30min	30	mins	 donor2 (t3 Subject2)	CNhs13381	Macrophage response to LPS	Macrophage_response_to_LPS	Human	Early response
12896-137H7	Monocyte-derived macrophages response to LPS	 00hr30min	30	mins	 donor3 (t3 Subject3)	CNhs13176	Macrophage response to LPS	Macrophage_response_to_LPS	Human	Early response
13033-139E9	MCF7 breast cancer cell line response to EGF1	 00hr30min	30	mins	 biol_rep1	CNhs12421	MCF7 response to EGF	MCF7_response_to_EGF	Human	Early response
13099-140D3	MCF7 breast cancer cell line response to EGF1	 00hr30min	30	mins	 biol_rep2	CNhs12477	MCF7 response to EGF	MCF7_response_to_EGF	Human	Early response
13165-141B6	MCF7 breast cancer cell line response to EGF1	 00hr30min	30	mins	 biol_rep3	CNhs12738	MCF7 response to EGF	MCF7_response_to_EGF	Human	Early response
13049-139G7	MCF7 breast cancer cell line response to HRG	 00hr30min	30	mins	 biol_rep1	CNhs12436	MCF7 response to HRG	MCF7_response_to_HRG	Human	Early response
13115-140F1	MCF7 breast cancer cell line response to HRG	 00hr30min	30	mins	 biol_rep2	CNhs12653	MCF7 response to HRG	MCF7_response_to_HRG	Human	Early response
13181-141D4	MCF7 breast cancer cell line response to HRG	 00hr30min	30	mins	 biol_rep3	CNhs12755	MCF7 response to HRG	MCF7_response_to_HRG	Human	Early response
12309-130F5	ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes	 00hr30min	30	mins	 biol_rep1 (030mA1)	CNhs13115	MSC to adipocyte (mouse)	MSC_to_adipocyte_(mouse)	Mouse	Early response
